ID;Nom;Image;Année;Gentil;Méchant
1;L'étrange Noël de Mr Jack;etrange_noel_jack.jpg;1993;Jack Skellington;Oogie Boogie
2;Le Monde de Némo;nemo.jpg;2003;Némo;Bruce
3;Mulan;mulan.jpg;1998;Mulan;Les Huns
4;1001 Pattes;1001-pattes.jpg;1998;Tilt;Le Borgne
5;Ratatouille;ratatouille.jpg;2007;Remi;Skinner
6;Monstres et Cie;monstres-et-cie.jpg;2001;Bob Razowski;Randall Boggs
7;La Reine des Neiges;la-reine-des-neiges.jpeg;2013;Elsa / Anna;Hans
8;Peter Pan;peter-pan.jpg;1953;Peter Pan;Capitaine Crochet
9;Les Aristochats;aristochats.jpg;1970;Duchesse;Edgar
10;Alice au pays des merveilles;alice.jpg;1951;Alice;La Reine de Coeur
11;Fantasia;fantasia.jpg;1940;;
12;Le Livre de la Jungle;le-livre-de-la-jungle.jpg;1967;Moogli;Shere Khan
13;Wall-E;wall-e.jpg;2008;Wall-E;Auto
14;Le Roi Lion;le-roi-lion.jpeg;1994;Simba;Scar
15;Aladdin;aladdin.jpg;1992;Aladdin;Jafar
16;Toy Story;toy-story.jpg;1995;Woody;Andy Davis
17;Pocahontas;pocahontas.jpg;1995;Pocahontas;John Ratcliffe
18;La Petite Sirène;petite-sirene.jpg;1989;Ariel;Ursula
19;La Belle et la Bête;belle-bete.jpg;1991;Belle;Gaston
20;La Belle et le Clochard;belle-clochard.jpeg;1955;Belle;Si et Am
21;Tarzan;tarzan.jpg;1999;Tarzan / Jane;Sabord / Clayton
22;La-haut;la-haut.jpg;2009;Russell / Carl;Charles F. Muntz
23;Raiponse;raiponce.jpg;2010;Raiponce;Mère Gothel
24;La Princesse et la Grenouille;princesse-grenouille.jpg;2009;Tiana;Docteur Facilier
25;Rebelle;rebelle.jpg;2012;Mérida;Alameda Slim
26;Frère des ours;frere-ours.jpeg;2003;Koda / Kenai;
27;Bambi;bambi.jpg;1942;Bambi;Ronno
28;Dumbo;dumbo.jpg;1941;Dumbo;Monsieur Loyal
29;Lilo et Stitch;lilo-et-stitch.jpg;2002;Lilo / Stitch;Captain Gantu
30;Rox et Rocky;rox-et-rouky.jpg;1981;Rox / Rouky;Amos Slade
31;Hercules;hercules.png;1997;Hercules;Adès
32;Kuzco, l'empereur mégalo;kuzco.jpg;2000;Kuzco;Yzma