ID;Nom;Image;Info 1;Info 2;Info 3
1;ALFONSO CUARON;alfonso-cuaron.jpg;Gravity;Harry Potter 3;Les Fils de l?homme
2;ALFRED HITCHCOCK;alfred-hitchcock.jpg;Psychose;Sueurs froides;Les Oiseaux
3;ANTHONY / JOE RUSSO;anthony-joe-russo.jpg;Avengers Endgame;Captain America Civil War;Avengers Infinity War
4;CHRISTOPHER NOLAN;christopher-nolan.png;Inception;Interstellar;Tenet
5;CLINT EASTWOOD;clint-eastwood.jpg;Gran Torino;Le Bon, la Brute et le Truand;La Mule
6;DAMIEN CHAZELLE;damien-chazelle.png;La La Land;10 Cloverfield Lane;First Man
7;DAVID FINCHER;david-fincher.jpg;Fight Club;Gone Girl;Seven
8;DAVID LYNCH;david-lynch.jpg;Mulholland Drive;Blue Velvet;Lost Highway
9;DAVID YATES;david-Yates.jpg;Harry Potter 5/6/7;Les Animaux Fantastiques;Tarzan
10;DENIS VILLENEUVE;denis-villeneuve.jpg;Premier Contact;Dune;Blade Runner 2049
11;EDGAR WRIGHT;edgar-wright.jpg;Baby Driver;Shaun of the Dead;Hot Fuzz
12;GEORGE LUCAS;george_Lucas.jpg;Star Wars;;
13;GUILLERMO DEL TORO;guillermo_del_Toro.jpg;La forme de l?eau;Pacific Rim;Hellboy
14;GUY RITCHIE;guy-ritchie.jpg;Aladin;The Gentlemen;Sherlock Holmes
15;HAYAO MIYAZAKI;hayao_miyazaki.jpg;Le Voyage de Chihiro;Le Château ambulant;Princesse Mononoké
16;JAMES CAMERON;james-cameron.jpg;Avatar;Terminator;Titanic
17;JAMES WAN;james-wan.jpg;Aquaman;Insidious;Conjuring
18;LUC BESSON;luc-besson.jpg;Valérian;Le 5e element;Léon
19;M. NIGHT SHYAMALAN;m_Night_Shyamalan.jpg;Split;Incassable;Sixième Sens
20;MARTIN SCORSESE;martin-scorsese.jpg;Les Affranchis;Taxi Driver;The Irishman
21;MICHAEL BAY;michael-bay.jpg;Bad Boys;Armageddon;Transformers
22;NICOLAS WINDING REFN;nicolas-winding-refn.jpg;Drive;The Neon Demon;Only God Forgives
23;PETER JACKSON;peter_Jackson.jpg;Le Hobbit;Le Seigneur des Anneaux;
24;QUENTIN TARANTINO;quentin-tarantino.jpg;Once Upon a Time in Hollywood;Pulp Fiction;Inglourious Basterds
25;RIDLEY SCOTT;ridley-Scott.jpg;Alien;Seul sur Mars;Gladiator
26;ROBERT ZEMECKIS;robert-zemeckis.jpg;Retour vers le Futur;Forrest Gump;Seul au monde
27;STANLEY KUBRICK;stanley-kubrick.jpg;Shining;2001, l?Odyssée de l?Espace;Eyes Wide Shut
28;STEVEN SPIELBERG;steven_Spielberg.jpg;ET;Jurassic Park;Les Dents de la mer
29;TIM BURTON;tim-burton.jpg;Alice au pays des merveilles;L?Etrange Noel de Monsieur Jack;Les Noces funèbres
30;WES ANDERSON;wes-anderson.jpg;L?ile aux chients;The Grand Budapest Hotel;Moonrise Kingdom
31;XAVIER DOLAN;xavier-dolan.jpg;Mommy;Ca : Chapitre 2;Vice Versa
32;ZACK SNYDER;zack_Snyder.jpg;Justice League;Man of Steel;300